Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Delayed transition,,,,,8.9349,8.0545,4.6854,1.8827,0.7811,0.6076,0.5062
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Fragmented World,,,,,8.9332,8.0532,4.6842,2.7958,1.2473,0.7586,0.6439
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Low Demand,,,,,8.929,8.706,2.5215,1.1326,0.688,0.5654,0.4896
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Nationally Determined Contributions (NDCs),,,,,8.9345,7.6668,1.5267,0.9909,0.7331,0.6383,0.6258
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Net Zero 2050,,,,,8.9304,5.689,1.1878,0.8645,0.6481,0.522,0.432
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Below 2°C,,,,,13.0761,6.8287,2.5888,1.5937,0.6552,0.4073,0.2621
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Current Policies,,,,,13.083,13.863,13.1975,10.9499,6.2783,6.7002,6.8774
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Delayed transition,,,,,13.0871,13.8697,13.2062,2.145,1.1135,0.7131,0.6326
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Fragmented World,,,,,13.4738,14.222,13.465,6.3101,2.0987,0.7785,0.3458
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Low Demand,,,,,13.0978,6.8406,2.6708,1.6764,1.2684,1.6963,1.9285
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,13.079,6.8283,4.6269,2.0579,1.3405,0.9871,0.7226
United States,US,USA,Primary energy,Coal,EJ/yr,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,13.075,6.8283,2.6355,1.6667,0.9473,1.6851,1.0167
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Below 2°C,,,,,8.3332,3.7453,0.6255,0.4726,0.3168,0.2188,0.203
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Current Policies,,,,,8.3332,3.9089,3.5107,3.0096,1.6066,1.5137,2.2344
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Delayed transition,,,,,8.3332,3.9089,3.5107,2.4785,0.2786,0.1743,0.1354
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Fragmented World,,,,,8.3332,3.9089,3.5107,2.6492,0.4413,0.2633,0.251
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Low Demand,,,,,8.3332,3.1344,0.3527,0.2454,0.1908,0.1411,0.101
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,8.3332,3.4904,0.4826,0.335,0.2728,0.2334,0.2144
United States,US,USA,Primary energy,Coal,EJ/yr,REMIND-MAgPIE,Net Zero 2050,,,,,8.3332,3.1991,0.4606,0.293,0.2281,0.174,0.1321
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Below 2°C,,,,,14.3719,16.853,19.0909,21.4417,24.0662,26.6038,29.7498
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Current Policies,,,,,14.3691,16.9237,18.7571,20.5753,21.9702,23.041,24.1858
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Delayed transition,,,,,14.369,16.9236,18.757,20.918,23.7068,26.8278,32.2426
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Fragmented World,,,,,14.3701,16.9256,18.7604,20.7116,22.9931,25.0725,27.61
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Low Demand,,,,,14.3735,15.5074,15.4032,17.6657,20.2628,23.719,26.6354
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Nationally Determined Contributions (NDCs),,,,,14.3698,16.8888,19.3599,20.8742,22.5665,23.8555,25.1605
United States,US,USA,Final energy,Electricity,EJ/yr,GCAM,Net Zero 2050,,,,,14.3739,16.7525,19.5629,22.3579,26.2647,30.9291,34.0061
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Below 2°C,,,,,13.9163,15.1956,15.6897,16.5026,18.0186,20.0612,22.5681
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Current Policies,,,,,13.8738,14.7397,15.3969,16.1189,16.7507,17.4971,18.2641
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Delayed transition,,,,,13.8601,14.7198,15.3696,16.3771,17.5617,19.3645,21.8436
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Fragmented World,,,,,13.8806,14.7474,15.4088,16.2442,17.0991,18.2822,20.2172
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Low Demand,,,,,13.9602,15.2634,13.9875,14.2189,14.253,14.7809,15.8457
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,13.8846,15.1471,15.5932,17.1319,17.9269,19.6059,21.3146
United States,US,USA,Final energy,Electricity,EJ/yr,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,13.9629,15.2696,16.8738,19.0881,21.2598,23.7055,26.7256
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Below 2°C,,,,,14.1446,14.5258,16.2193,18.268,20.4741,21.2288,21.9379
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Current Policies,,,,,14.1446,14.4421,16.3091,17.7715,18.5484,18.7556,19.048
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Delayed transition,,,,,14.1446,14.4421,16.3091,18.1736,20.0893,21.9434,22.4933
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Fragmented World,,,,,14.1446,14.4421,16.3091,18.1398,19.0982,20.2442,20.3499
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Low Demand,,,,,14.1446,13.8755,13.9987,15.8782,16.9496,17.4677,17.381
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,14.1446,14.5288,15.6384,18.3839,20.0711,21.2989,21.2046
United States,US,USA,Final energy,Electricity,EJ/yr,REMIND-MAgPIE,Net Zero 2050,,,,,14.1446,14.3896,16.185,18.9651,22.1323,23.2875,22.8556
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Below 2°C,,,,,4314.4803,4078.7255,2856.1938,2171.5233,1507.1584,878.1579,257.5395
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Current Policies,,,,,4316.0404,4186.2618,3628.8892,3531.6374,3378.9037,3206.4826,3002.0196
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Delayed transition,,,,,4317.502,4187.85,3630.5117,2619.26,1465.6762,412.6328,-630.5209
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Fragmented World,,,,,4318.2483,4188.5108,3631.089,2911.2593,2035.138,1170.4769,322.2509
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Low Demand,,,,,4316.4041,4035.8528,2867.9572,1937.3579,1038.1072,207.8348,-714.264
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Nationally Determined Contributions (NDCs),,,,,4317.0031,4177.95,2749.1471,2521.3402,2268.7196,2022.3045,1754.0637
United States,US,USA,Emissions and CCS,Energy and industrial processes CO2 emissions,Mt CO2/yr,GCAM,Net Zero 2050,,,,,4317.3627,3877.2609,2401.8993,1496.7456,618.6549,-109.5503,-783.1911
